calories,protein,fat,carbohydrates
226.0,9.43,1.89,45.3
92.0,2.98,0.6,19.6
200.0,6.0,2.0,40.0
200.0,4.29,3.57,30.0
1014.0000000000008,10.8,2.42,51.9
451.0,10.2,21.6,54.0
275.0,10.0,5.0,45.0
567.0,18.45,32.1,25.92
232.0,7.14,0.89,46.4
433.0,13.3,10.0,52.74000000000001
250.0,7.14,0.89,51.8
176.0,7.35,2.94,35.3
306.0,8.33,5.56,52.8
274.0,10.67,4.53,47.54
389.0,11.1,9.26,52.74000000000001
179.0,28.6,3.57,46.4
236.0,7.27,4.55,41.8
362.0,15.9,5.8,52.74000000000001
972.0,8.0,1.8,46.0
402.0,5.77,19.04,55.4
333.0,6.67,6.67,52.74000000000001
279.0,13.52,3.9,47.36
274.0,13.7,5.26,46.3
274.0,11.6,3.16,50.5
263.0,11.6,2.63,51.6
274.0,11.6,2.63,50.5
226.0,9.68,1.61,43.6
286.0,10.7,5.36,53.6
239.0,3.34,2.65,50.5
354.0,3.03,13.1,56.6
233.0,11.6,2.33,51.2
246.0,8.77,0.88,47.4
275.0,9.1,1.2,55.7
263.0,8.77,0.88,52.6
262.0,9.8,1.71,55.89
287.0,9.5,6.0,47.8
384.0,9.36,18.84,44.97
310.0,9.52,7.14,52.4
1014.0000000000008,7.02,1.75,50.2
263.0,10.5,3.51,49.1
280.0,9.0,3.0,54.0
313.0,11.09,9.16,46.37
1014.0000000000008,12.2,12.9,44.5
364.0,10.9,16.4,41.8
360.0,6.0,20.0,38.0
357.0,10.7,8.93,57.1
289.0,10.5,3.95,50.0
500.0,10.0,23.3,60.0
326.0,6.98,5.81,58.1
246.0,8.2,0.82,49.2
333.0,9.09,9.09,54.6
286.0,10.7,6.25,46.4
282.0,9.41,1.76,55.3
281.0,8.77,6.14,47.4
250.0,12.0,6.48,34.3
310.0,19.0,20.7,10.3
262.0,16.2,15.0,18.8
257.0,15.9,19.5,3.54
728.0,15.9,10.4,3.18
173.0,7.28,3.66,27.62
107.0,16.1,3.57,1.79
101.0,16.7,3.73,0.27
193.0,23.9,6.82,7.95
120.0,16.0,4.0,2.0
125.0,16.1,2.68,8.93
107.0,16.1,2.68,3.57
89.0,16.1,1.79,3.57
329.0,11.0,29.0,6.0
98.0,17.4,1.86,2.92
125.0,21.4,2.68,3.57
107.0,16.1,1.79,3.57
240.0,15.7,17.4,7.44
308.0,18.0,23.1,6.41
107.0,17.9,2.23,1.79
502.0,7.0,26.0,60.0
152.0,16.1,8.93,1.79
117.0,5.95,3.12,17.5
274.0,20.2,15.4,13.7
306.0,10.6,14.1,22.4
107.0,8.76,5.07,6.29
117.0,8.19,6.39,6.29
204.0,17.7,12.4,6.19
252.0,7.48,10.2,32.0
96.2,15.4,1.98,4.19
385.0,8.62,5.37,52.74000000000001
754.0,16.3,11.2,3.65
250.0,14.3,21.4,3.57
107.0,17.9,3.57,1.79
302.0,11.6,25.6,4.65
107.0,21.4,1.79,1.79
180.0,16.0,10.0,6.0
107.0,17.9,1.79,3.57
206.0,27.3,9.95,0.07
164.0,16.4,9.09,3.64
143.0,19.6,6.25,1.79
167.0,17.9,9.52,2.38
105.0,14.0,3.51,7.02
1014.0000000000008,14.2,29.4,2.6
